q_id, query, is_relevant, rel_words
ST_021, Falsche Fahrwarnung, No, integrated: collision: detection: enables: earlier: reliable: triggering: safety: features: airbags: seat: belts: fact: triggered: within: milliseconds: impact: achieved: integrating: data: collected: vehicles: surround: sensors: mechanism: passive: systems: thus: information: already: available: prior: accident: used: make: crash: algorithms: sensitive: impacts: way: severity: type: determined: early: accurately: result: restraint: devices: activated: sooner: reliably: risk: injuries: occupants: reduced: significantly
CT_021, Falsche Fahrwarnung, No, rear: cross: traffic: warning: makes: backing: parking: space: easier: view: obstructed: warns: crossing: vehicles
ST_022, Wrong way driving warning, No, bosch (Bosch): fahrassistent (driving assistant): automatischen (automatic): spurwechsel (lane change): geschwindigkeitsbereich (speed range): – (-): km/h (km / h): ergänzt (supplemented): dafür (for): zusätzliche (additional): überwachung (monitoring): seitlichen (lateral): rückwärtigen (rearward): verkehrs (traffic): eck-radarsensoren (corner radar sensors): erforderlich (required): fahrer (driver): signalisiert (signals): betätigen (actuate): blinkers: wunsch (request): woraufhin (whereupon): system: durchführt (carries out): sobald (as soon as): gefahrlos (safe): nebenspur (next lane): gewechselt (changed): bleibt (remains): dennoch (nevertheless): fahrverantwortung (driving responsibility): fahrzeugführung (driving the vehicle): jederzeit (at any time): übernehmen (taking over)
CT_022, Wrong way driving warning, No, querverkehrswarnung (Cross traffic warning): erleichtert (relieved): versperrter (blocked): sicht (view): rückwärtige (backwards): ausparken (park out): querparklücken (cross parking spaces): warnt (warn): querenden (crossing): fahrzeugen (vehicles)
ST_023, Kreuzung sassistenten, Yes, complex: intersection: scenarios: dangerous: situations: impaired: visibility: stationary: traffic: buildings: v2x: warn: driver: approaching: vision: warned: risk: collision: intersecting: passed: vehicle: right: journey
CT_023, Kreuzung sassistenten, No, rear: cross: traffic: warning: makes: backing: parking: space: easier: view: obstructed: warns: crossing: vehicles
ST_024, Electronic stability control, No, elektrolenkung (electric steering): lenkung (steering): fahrzeugen (vehicles): elektronisch (electronic): gesteuerten (controlled): elektromotors (electric motor): elektronische (electronic): ausführung (execution): hochautomatisierte (highly automated): fahren (drive): level: aufwärts (upwards)
CT_024, Electronic stability control, Yes, elektronische (electronic): stabilitäts-programm (stability program): erkennt (detects): schleuderbewegungen (skidding movements): fahrzeugs (vehicle): wirkt (acts): aktiv (active): entgegen (counteracts)
ST_025, Oxygen Sensors, No, skalierbare (scalable): fuel: cell: power: module: brennstoffzellensystem (fuel cell system): stromerzeugung (electricity generation): fahrzeug (vehicle): wasserstoff (hydrogen)
CT_025, Oxygen Sensors, No, bosch: mems-sensoren (memes sensors): spielen (play): große (big): rolle (role): dabei (there): mobilität (mobility): effizienter (more efficient): bequemer (more convenient): sicherer (safer): darüber (beyond): hinaus (beyond): fahrspaß (driving fun): begeisterung (enthusiasm): steigern (increase): grundbaustein (basic building block): vernetzte (networked): welt (world): verborgenen (hidden): wirkenden (effective): helden (heroes): zeigen (show): superfähigkeiten (super skills): darum (therefore): geht (works): kleinsten (smallest): veränderungen (changes): umgebung (environment): erfassen (record): genauigkeit (accuracy): messungen (measurements): sorgen (ensure): dafür (ensure): system: immer (always): laufenden (running)
ST_026, Motordrehzahlsensor, Yes, speed: sensor: detects: rotational: exhaust-gas: turbochargers
