q_id, query, is_relevant, rel_words
ST_001, ignition interlock devices, No, 
CT_001, ignition interlock devices, No, 
ST_002, Zündschloss geräte, Yes, ignition: engine: key: vehicle
CT_002, Zündschloss geräte, No, 
ST_003, Anti lock braking system, Yes, antiblockiersystem (antiblocking system): abs: verhindert (prevents): blockieren (blocking): räder (wheels): sicheres (safe): bremsen (braking)
CT_003, Anti lock braking system, Yes, antiblockiersystem (anti-lock braking system): sicheren (safe): bremsen (braking): bremswege (braking distances)
ST_004, Automotive night vision, Yes, kamera (camera): erkennen (detect): lichtverhältnissen (lighting conditions): lichtquellen (light sources): automatisch (automatically)
CT_004, Automotive night vision, No, 
ST_005, Nachtsicht im Auto, No, 
CT_005, Nachtsicht im Auto, No, 
ST_006, Blind spot monitor, Yes, einparkhilfe (parking aid): sehen (seeing): parken (parking): umgebung (surroundings): parksensoren (parking sensors): kamerabild (camera image)
CT_006, Blind spot monitor, Yes, totwinkelwarner (blind spot warning): erkennt (detects): fahrzeuge (vehicles): einsehbaren (visible): warnt (warns)
ST_007, Toter Winkel Monitor, No, 
CT_007, Toter Winkel Monitor, No, 
ST_008, Collision avoidance system, Yes, automated: automatisierte (automated): sensorik (sensors): erkennt (detects): fahrzeug (vehicle): hindernis (obstacle)
CT_008, Collision avoidance system, Yes, kollisionen (collisions): vermeiden (avoid)
ST_009, Kollisionsvermeidungs system, Yes, automatic: braking: warning: predictive: smart
