q_id, query, is_relevant, rel_words
ST_021, Falsche Fahrwarnung, Yes, integrated: collision: detection: enables: earlier: reliable: triggering: safety: features: airbags: seat: belts: triggered: achieved: integrating: data: vehicles: sensors: mechanism: passive: systems: accident: crash: algorithms: impacts: type: determined: early: accurately: restraint: devices: activated
CT_021, Falsche Fahrwarnung, No, rear: cross: traffic: warning: makes: backing: parking: space: easier: view: obstructed: warns: crossing: vehicles
ST_022, Wrong way driving warning, No, bosch (Bosch): fahrassistent (driving assistant): automatischen (automatic): spurwechsel (lane change): geschwindigkeitsbereich (speed range): – (-): km/h (km / h): ergänzt (supplemented): dafür (for): zusätzliche (additional): überwachung (monitoring): seitlichen (lateral): rückwärtigen (rearward): verkehrs (traffic): eck-radarsensoren (corner radar sensors): erforderlich (required): fahrer (driver): signalisiert (signals): betätigen (actuate): blinkers: wunsch (request): woraufhin (whereupon): system: durchführt (carries out): sobald (as soon as): gefahrlos (safe): nebenspur (next lane): gewechselt (changed): bleibt (remains): dennoch (nevertheless): fahrverantwortung (driving responsibility): fahrzeugführung (driving the vehicle): jederzeit (at any time): übernehmen (taking over)
CT_022, Wrong way driving warning, No, querverkehrswarnung (Cross traffic warning): erleichtert (relieved): versperrter (blocked): sicht (view): rückwärtige (backwards): ausparken (park out): querparklücken (cross parking spaces): warnt (warn): querenden (crossing): fahrzeugen (vehicles)
ST_023, Kreuzung sassistenten, Yes, intersection: dangerous: situations: impaired: visibility: due: stationary: traffic: buildings: v2x: vision: warned: risk: collision
CT_023, Kreuzung sassistenten, No, rear: cross: traffic: warning: makes: backing: parking: space: easier: view: obstructed: warns: crossing: vehicles
ST_024, Electronic stability control, No, elektrolenkung (electric steering): servolectric® (servolectricÂ®): regelt (regulates): unterstützt (assisted): lenkung (steering): fahrzeugen (vehicles): elektronisch (electronic): elektromotors (electric motor): elektronische (electronic): fail-operational: hochautomatisierte (highly automated)
CT_024, Electronic stability control, Yes, elektronische (electronic): stabilitäts-programm (stability program): erkennt (detects): schleuderbewegungen (skidding movements): fahrzeugs (vehicle): entgegen (counteracts)
ST_025, Oxygen Sensors, No, skalierbare (scalable): fuel: cell: power: module: brennstoffzellensystem (fuel cell system): stromerzeugung (electricity generation): fahrzeug (vehicle): wasserstoff (hydrogen)
CT_025, Oxygen Sensors, No, bosch: mems-sensoren (memes sensors): spielen (play): große (big): rolle (role): dabei (there): mobilität (mobility): effizienter (more efficient): bequemer (more convenient): sicherer (safer): darüber (beyond): hinaus (beyond): fahrspaß (driving fun): begeisterung (enthusiasm): steigern (increase): grundbaustein (basic building block): vernetzte (networked): welt (world): verborgenen (hidden): wirkenden (effective): helden (heroes): zeigen (show): superfähigkeiten (super skills): darum (therefore): geht (works): kleinsten (smallest): veränderungen (changes): umgebung (environment): erfassen (record): genauigkeit (accuracy): messungen (measurements): sorgen (ensure): dafür (ensure): system: immer (always): laufenden (running)
ST_026, Motordrehzahlsensor, No, speed: sensor: detects: rotational: exhaust-gas: turbochargers
CT_026, Motordrehzahlsensor, Yes, via: crankshaft: speed: sensor: engine: management: system: measures: position: rotational: direction
ST_027, Engine Speed Sensor, Yes, optimale (optimal): motorsteuerung (engine control): präzise (precise): informationen (information): antriebsstrang (drive train): sensoren (sensors): kurbelwellen-drehzahlsensors (crankshaft speed sensor): ermittelt (determined): elektronische (electronic): motorsteuergerät (engine control unit): drehzahl (speed): position: optional: drehrichtung (direction of rotation): kurbelwelle (crankshaft): daten (data): dienen (serve): steuerung (control): zündzeitpunkt (ignition point)
CT_027, Engine Speed Sensor, No, drehzahlsensor (speed sensor): dient (serves): erfassung (detection): drehzahl (speed): abgasturboladern (exhaust gas turbocharger): stellt (provides): wesentliche (essential): eingangsgröße (input variable): effizienten (efficient): steuerung (control): aufladesystems (charging system): bereit (ready)
ST_028, Mass Air Flow Sensor, Yes, messprinzip (measuring principle): druckbasierten (pressure-based): luftmassenmessers (air mass meter): bildet (forms): prinzip (principle): prandtlschen: staurohrs (pitot tube): sensor: drucksensoren (pressure sensors): temperaturfühler (temperature sensors): verbaut (built in): dynamische (dynamic): druck (pressure): statische (static): ps: temperatur (temperature): t: vorbeiströmenden (flowing past): luft (air): luftmasse (air mass): dabei (included): luftmassenmesser (air mass meter): messrohr (measuring tube)
CT_028, Mass Air Flow Sensor, No, saugrohrluftdruck- (intake manifold air pressure): -temperatursensor (temperature sensor): misst (measures): druck (pressure): lufttemperatur (air temperature): saugrohr (intake manifold): mikromechanische (micromechanical): sensor: enthält (contains): piezoresistives (piezoresistive): sensorelement (sensor element): ausübung (exercise): messbare (measurable): elektrische (electrical): spannung (voltage): erzeugt (generated): luftdruck (air pressure): gemessen (measured): sorgt (provides): optimiertes (optimized): kraftstoff-luft-gemisch (fuel-air mixture): effizientere (more efficient): verbrennung (combustion)
ST_029, Kurbelwellensensor, No, speed: sensor: detects: rotational: exhaust-gas: turbochargers
CT_029, Kurbelwellensensor, No, robust: crin-le: common-rail: injector: injects: exactly: right: amount: fuel: required: efficient: combustion: cylinder: high-pressure: accumulator: integrated: allows: flexible: engine: design: provided: every: power: output: within: range: kw/cylinder (kw / cylinder)
