q_id, query, is_relevant, rel_words
ST_021, Falsche Fahrwarnung, Yes, integrated: collision: detection: earlier: reliable: triggering: safety: features: airbags: seat: belts: fact: within: milliseconds: vehicles: sensors: mechanism: systems: information: accident: crash: algorithms: sensitive: severity: type: determined: result: restraint: devices: activated: risk: injuries: occupants
CT_021, Falsche Fahrwarnung, Yes, rear: cross: traffic: warning: parking: space: view: obstructed: vehicles: warns
ST_022, Wrong way driving warning, No, bosch (Bosch): fahrassistent (driving assistant): automatischen (automatic): spurwechsel (lane change): geschwindigkeitsbereich (speed range): – (-): km/h (km / h): ergänzt (supplemented): dafür (for): zusätzliche (additional): überwachung (monitoring): seitlichen (lateral): rückwärtigen (rearward): verkehrs (traffic): eck-radarsensoren (corner radar sensors): erforderlich (required): fahrer (driver): signalisiert (signals): betätigen (actuate): blinkers: wunsch (request): woraufhin (whereupon): system: durchführt (carries out): sobald (as soon as): gefahrlos (safe): nebenspur (next lane): gewechselt (changed): bleibt (remains): dennoch (nevertheless): fahrverantwortung (driving responsibility): fahrzeugführung (driving the vehicle): jederzeit (at any time): übernehmen (taking over)
CT_022, Wrong way driving warning, Yes, querverkehrswarnung (Cross traffic warning): versperrter (blocked): rückwärtige (backwards): ausparken (park out): querparklücken (cross parking spaces): fahrzeugen (vehicles)
ST_023, Kreuzung sassistenten, Yes, intersection: scenarios: dangerous: situations: stationary: traffic: buildings: v2x: driver: good: time: risk: collision: intersecting: vehicle: right: journey
CT_023, Kreuzung sassistenten, Yes, rear: cross: traffic: warning: parking: space: warns: vehicles
ST_024, Electronic stability control, Yes, elektrolenkung (electric steering): servolectric® (servolectricÂ®): lenkung (steering): fahrzeugen (vehicles): elektronisch (electronic): elektromotors (electric motor): elektronische (electronic): schnittstelle (interface): fail-operational: ausführung (execution): hochautomatisierte (highly automated): gemäß (according to)
CT_024, Electronic stability control, Yes, stabilitäts-programm (stability program): erkennt (detects): schleuderbewegungen (skidding movements): fahrzeugs (vehicle): entgegen (counteracts)
ST_025, Oxygen Sensors, Yes, skalierbare (scalable): fuel: cell: power: module: fahrzeug (vehicle): wasserstoff (hydrogen)
CT_025, Oxygen Sensors, No, bosch: mems-sensoren (memes sensors): spielen (play): große (big): rolle (role): dabei (there): mobilität (mobility): effizienter (more efficient): bequemer (more convenient): sicherer (safer): darüber (beyond): hinaus (beyond): fahrspaß (driving fun): begeisterung (enthusiasm): steigern (increase): grundbaustein (basic building block): vernetzte (networked): welt (world): verborgenen (hidden): wirkenden (effective): helden (heroes): zeigen (show): superfähigkeiten (super skills): darum (therefore): geht (works): kleinsten (smallest): veränderungen (changes): umgebung (environment): erfassen (record): genauigkeit (accuracy): messungen (measurements): sorgen (ensure): dafür (ensure): system: immer (always): laufenden (running)
ST_026, Motordrehzahlsensor, Yes, speed: sensor: detects: rotational: exhaust-gas: turbochargers
CT_026, Motordrehzahlsensor, Yes, crankshaft: speed: sensor: engine: rotational: direction
ST_027, Engine Speed Sensor, Yes, motorsteuerung (engine control): aktuelle (current): informationen (information): antriebsstrang (drive train): geliefert (delivered): mithilfe (using): kurbelwellen-drehzahlsensors (crankshaft speed sensor): ermittelt (determined): elektronische (electronic): motorsteuergerät (engine control unit): drehzahl (speed): drehrichtung (direction of rotation): kurbelwelle (crankshaft): daten (data): dienen (serve): steuerung (control): zündzeitpunkt (ignition point): kurbelwellen-drehzahlsensor (crankshaft speed sensor): emissionsgrenzwerten (emission limits): motorlauf (engine running)
CT_027, Engine Speed Sensor, Yes, drehzahlsensor (speed sensor): dient (serves): erfassung (detection): drehzahl (speed): abgasturboladern (exhaust gas turbocharger): eingangsgröße (input variable)
ST_028, Mass Air Flow Sensor, Yes, messprinzip (measuring principle): druckbasierten (pressure-based): luftmassenmessers (air mass meter): bildet (forms): prinzip (principle): prandtlschen: staurohrs (pitot tube): sensor: zwei (two): drucksensoren (pressure sensors): temperaturfühler (temperature sensors): dynamische (dynamic): statische (static): temperatur (temperature): vorbeiströmenden (flowing past): luftmasse (air mass): wichtig (important): luftmassenmesser (air mass meter)
CT_028, Mass Air Flow Sensor, No, saugrohrluftdruck- (intake manifold air pressure): -temperatursensor (temperature sensor): misst (measures): druck (pressure): lufttemperatur (air temperature): saugrohr (intake manifold): mikromechanische (micromechanical): sensor: enthält (contains): piezoresistives (piezoresistive): sensorelement (sensor element): ausübung (exercise): messbare (measurable): elektrische (electrical): spannung (voltage): erzeugt (generated): luftdruck (air pressure): gemessen (measured): sorgt (provides): optimiertes (optimized): kraftstoff-luft-gemisch (fuel-air mixture): effizientere (more efficient): verbrennung (combustion)
