q_id, query, is_relevant, rel_words
ST_001, ignition interlock devices, No, system: elektrische (electric): antriebssystem (drive system): abgestimmten (coordinated): komponenten (components): unterstützungsfunktionen (support functions): funktionen (functions): motorunterstützung (motor support): automatische (automatic): bremsunterstützung (braking assistance): handhabung (handling): systems: erfolgt (done): intuitiv (intuitive): schalter (switch): griff (handle): bluetooth: zugehörigen (associated): smartphone-app (smartphone app): verbunden (connected)
CT_001, ignition interlock devices, No, 
ST_002, Zündschloss geräte, Yes, electronic: immobilizer: secures: vehicle: theft: achieved: transponder: code: ignition: key: switched: intelligent: communications: interface: using: antenna: engine: electronics: system: coded: signal: start
CT_002, Zündschloss geräte, No, 
ST_003, Anti lock braking system, Yes, antiblockiersystem (antiblocking system): abs: verhindert (prevents): blockieren (blocking): räder (wheels): ermöglicht (enables): sicheres (safe): bremsen (braking)
CT_003, Anti lock braking system, No, 
ST_004, Automotive night vision, Yes, kamera (camera): oberseite (top): windschutzscheibe (windshield): lichtquellen (light sources): erkennen (detect): system: wechselt (changes): automatisch (automatically): abblend- (low beam): fernlicht (high beam): lichtverhältnissen (lighting conditions): fahrzeugen (vehicles): straße (street): anzupassen (adapt): fernlichtes (high beam): optimieren (optimize): maximale (maximum): sicherheit (safety): gewährleisten (ensure)
CT_004, Automotive night vision, Yes, vision: system: zentral (central): view: full-hd: kameras (cameras): steuereinheit (control unit): sichtbereiche (viewing areas): optimale (optimal): rundumsicht (all-round view): feldmaschine (field machine): hochauflösende (high resolution): detaillierte (detailed): draufsicht (top view): fahrzeugs (vehicle): sicheres (safe): schnelles (fast)
ST_005, Nachtsicht im Auto, No, 
CT_005, Nachtsicht im Auto, No, 
ST_006, Blind spot monitor, No, 
CT_006, Blind spot monitor, Yes, totwinkelwarner (blind spot warning): erkennt (detects): fahrzeuge (vehicles): einsehbaren (visible): bereichen (areas): warnt (warns): gefahr (danger): fahrer (driver): optischen (optical): signal
ST_007, Toter Winkel Monitor, No, 
CT_007, Toter Winkel Monitor, No, 
ST_008, Collision avoidance system, Yes, system: stützt (supports): eingesetzte (deployed): sensorik (sensors): fußgänger (pedestrians): objekte (objects): fahrweg (route): erkennt (detects): kommt (coming): fahrzeug (vehicle): hindernis (obstacle): zuverlässig (reliable): stehen (standing)
CT_008, Collision avoidance system, Yes, anfahrinformationssystem (approach information system): kollisionen (collisions): nutzfahrzeugen (commercial vehicles): verkehrsteilnehmern (road users): kraftfahrzeug (motor vehicle): vermeiden (avoid)
ST_009, Kollisionsvermeidungs system, No, 
