q_id, query, is_relevant, rel_words
ST_001, ignition interlock devices, No, 
CT_001, ignition interlock devices, No, 
ST_002, Zündschloss geräte, Yes, secures: vehicle: theft: transponder: code: ignition: key: smart: intelligent: communications: interface: engine: electronics: system
CT_002, Zündschloss geräte, No, 
ST_003, Anti lock braking system, Yes, antiblockiersystem (antiblocking system): abs: blockieren (blocking): räder (wheels): sicheres (safe): bremsen (braking)
CT_003, Anti lock braking system, Yes, antiblockiersystem (anti-lock braking system): sicheren (safe): bremsen (braking): bremswege (braking distances): sturzgefahr (risk of falling): abrupten (abrupt): bremsmanövern (braking maneuvers)
ST_004, Automotive night vision, Yes, kamera (camera): lichtquellen (light sources): automatisch (automatically): abblend- (low beam): fernlicht (high beam): lichtverhältnissen (lighting conditions): fahrzeugen (vehicles): fernlichtes (high beam): sicherheit (safety)
CT_004, Automotive night vision, Yes, off-highway: vision: system: kameras (cameras): steuereinheit (control unit): sichtbereiche (viewing areas): rundumsicht (all-round view): fahrzeugs (vehicle): sicheres (safe): schnelles (fast)
ST_005, Nachtsicht im Auto, No, indication: lamp: located: around: door: mirror: lights: system: detects: vehicle: blind: spot: area: driver: flicks: turn: signal: time: starts: flash: audible: warning: help: alert
CT_005, Nachtsicht im Auto, No, 
ST_006, Blind spot monitor, Yes, 180°-videokamera (180 ° video camera): sehen (seeing): umgebung (surroundings): parksensoren (parking sensors): kamerabild (camera image)
CT_006, Blind spot monitor, Yes, totwinkelwarner (blind spot warning): fahrzeuge (vehicles): einsehbaren (visible): bereichen (areas): gefahr (danger): fahrer (driver)
ST_007, Toter Winkel Monitor, Yes, autonomous: driving: mode: sensors: monitor: 360° (360 °): surveillance: lidars: long-range: laser: scanners: radar: medium-range: corner: digital: cameras: 180° (180 °): ultrasound: belt
CT_007, Toter Winkel Monitor, No, 
