q_id, query, is_relevant, rel_words
ST_011, Müdigkeitserkennung des Fahrers, Yes, driver: monitoring: camera: monitors: alertness: condition: distraction: drowsiness: microsleeps: alert
CT_011, Müdigkeitserkennung des Fahrers, Yes, driver: drowsiness: detection: pure: software: solution: additional: sensors: steering-angle: sensor: integrated: vehicle: legal: requirements
ST_012, Hill descent control, Yes, acc: geschwindigkeit (speed): stundenkilometern (hourly kilometers): fahrer (driver): überlandfahrten (overland drives): autobahn: stop: go: geschwindigkeiten (speeds): stundenkilometer (kilometers per hour): abstand (distance): vorausfahrenden (ahead): fahrzeug (vehicle): selbsttätig (automatic): stillstand (standstill): abbremsen (slow down)
CT_012, Hill descent control, Yes, hill: assist-technologie (assist technology): anfahren (starting up): manövrieren (maneuvering): gefällen (downhill): gefälle (downhill): zurückrollen (roll back): fahrzeugs (vehicle): brems- (brake): gaspedal (accelerator)
ST_013, Bergabfahr kontrolle, No, 
CT_013, Bergabfahr kontrolle, Yes, mountain: driving: scenario: projects: image: oncoming: vehicles: obstruction: hidden: beyond: curve
ST_014, Intelligent speed adaptation, Yes, verkehrszeicheninformation (traffic sign information): künftigen (future): general: safety: regulation: gsr: intelligent: speed: limit: erkennung (detection): geschwindigkeitsbegrenzungen (speed limits): warnung (warning): geschwindigkeitsüberschreitungen (over speeding)
CT_014, Intelligent speed adaptation, Yes, adaptive: abstands- (distance control): geschwindigkeitsregelung (speed control): geschwindigkeit (speed): verkehrsfluss (traffic flow)
ST_015, Intelligente Geschwindigkeitsanpassung, Yes, detection: implicit: explicit: speed: limitation: signs: driver: maximum: velocity: conditional: limits: supplementary: sign: optical: character: sla: intelligent: assist: isa: adapting: cruise: control: limit: information: traffic: recognition
CT_015, Intelligente Geschwindigkeitsanpassung, Yes, intelligent: speed: assistance: system: assist: driver: maintaining: road: conditions: targeted: appropriate: feedback
ST_016, Spur zentrierung, Yes, parking: meeting: room: track: testing: braking: maneuvers: lane: changes: driving: circle: radii: addition: handling: course
CT_016, Spur zentrierung, Yes, lane: centering: assist: multi: purpose: camera: generation: detect: boundaries: road: markings: structural: vehicle: compare: position: system: aligns: track: active: interventions: stays: center
ST_017, Spurwechsel assistenz, Yes, lane: departure: warning: video: camera: detect: markings: ahead: vehicle: warns: driver: leaving
CT_017, Spurwechsel assistenz, Yes, lane: change: assist: two: corner: radar: sensors: concealed: rear: bumper: one: left: right: monitor: area: car: powerful: control: software: sensor: picture: traffic: vehicle
ST_018, Tire pressure monitoring, Yes, reifen (tire): reifenventil (tire valve): sensor: fahrt (drive)
CT_018, Tire pressure monitoring, Yes, saugrohrluftdruck- (intake manifold air pressure): -temperatursensor (temperature sensor): misst (measures): druck (pressure): lufttemperatur (air temperature): saugrohr (intake manifold): mikromechanische (micromechanical): sensor: piezoresistives (piezoresistive): sensorelement (sensor element): elektrische (electrical): spannung (voltage): luftdruck (air pressure): kraftstoff-luft-gemisch (fuel-air mixture): verbrennung (combustion)
ST_019, Traktions steuersystem, Yes, accelerator-pedal: position: system: engine: torque: cruise: control: active: safety: systems: electronic: stability: program
CT_019, Traktions steuersystem, Yes, traction: control: system: tcs: heating: equipment: split-μ
ST_020, Traction control system, No, 
CT_020, Traction control system, No, 
