q_id, query, is_relevant, rel_words
ST_021, Falsche Fahrwarnung, No, integrated: collision: detection: enables: earlier: reliable: triggering: safety: features: airbags: seat: belts: fact: triggered: within: milliseconds: impact: achieved: integrating: data: collected: vehicles: surround: sensors: mechanism: passive: systems: thus: information: already: available: prior: accident: used: make: crash: algorithms: sensitive: impacts: way: severity: type: determined: early: accurately: result: restraint: devices: activated: sooner: reliably: risk: injuries: occupants: reduced: significantly
CT_021, Falsche Fahrwarnung, No, rear: cross: traffic: warning: makes: backing: parking: space: easier: view: obstructed: warns: crossing: vehicles
ST_022, Wrong way driving warning, No, bosch (Bosch): fahrassistent (driving assistant): automatischen (automatic): spurwechsel (lane change): geschwindigkeitsbereich (speed range): – (-): km/h (km / h): ergänzt (supplemented): dafür (for): zusätzliche (additional): überwachung (monitoring): seitlichen (lateral): rückwärtigen (rearward): verkehrs (traffic): eck-radarsensoren (corner radar sensors): erforderlich (required): fahrer (driver): signalisiert (signals): betätigen (actuate): blinkers: wunsch (request): woraufhin (whereupon): system: durchführt (carries out): sobald (as soon as): gefahrlos (safe): nebenspur (next lane): gewechselt (changed): bleibt (remains): dennoch (nevertheless): fahrverantwortung (driving responsibility): fahrzeugführung (driving the vehicle): jederzeit (at any time): übernehmen (taking over)
CT_022, Wrong way driving warning, No, querverkehrswarnung (Cross traffic warning): erleichtert (relieved): versperrter (blocked): sicht (view): rückwärtige (backwards): ausparken (park out): querparklücken (cross parking spaces): warnt (warn): querenden (crossing): fahrzeugen (vehicles)
ST_023, Kreuzung sassistenten, Yes, intersection: impaired: visibility: stationary: traffic: buildings: v2x: driver: approaching: vision: warned: collision: intersecting
CT_023, Kreuzung sassistenten, No, rear: cross: traffic: warning: makes: backing: parking: space: easier: view: obstructed: warns: crossing: vehicles
ST_024, Electronic stability control, Yes, elektrolenkung (electric steering): servolectric® (servolectricÂ®): fahrzeugen (vehicles): elektromotors (electric motor): hochautomatisierte (highly automated): fahren (drive)
CT_024, Electronic stability control, Yes, elektronische (electronic): stabilitäts-programm (stability program): schleuderbewegungen (skidding movements): fahrzeugs (vehicle): entgegen (counteracts)
ST_025, Oxygen Sensors, No, skalierbare (scalable): fuel: cell: power: module: brennstoffzellensystem (fuel cell system): stromerzeugung (electricity generation): fahrzeug (vehicle): wasserstoff (hydrogen)
CT_025, Oxygen Sensors, No, bosch: mems-sensoren (memes sensors): spielen (play): große (big): rolle (role): dabei (there): mobilität (mobility): effizienter (more efficient): bequemer (more convenient): sicherer (safer): darüber (beyond): hinaus (beyond): fahrspaß (driving fun): begeisterung (enthusiasm): steigern (increase): grundbaustein (basic building block): vernetzte (networked): welt (world): verborgenen (hidden): wirkenden (effective): helden (heroes): zeigen (show): superfähigkeiten (super skills): darum (therefore): geht (works): kleinsten (smallest): veränderungen (changes): umgebung (environment): erfassen (record): genauigkeit (accuracy): messungen (measurements): sorgen (ensure): dafür (ensure): system: immer (always): laufenden (running)
ST_026, Motordrehzahlsensor, No, speed: sensor: detects: rotational: exhaust-gas: turbochargers
CT_026, Motordrehzahlsensor, Yes, crankshaft: speed: sensor: engine: management: rotational: direction: position
ST_027, Engine Speed Sensor, Yes, motorsteuerung (engine control): aktuelle (current): präzise (precise): antriebsstrang (drive train): sensoren (sensors): kurbelwellen-drehzahlsensors (crankshaft speed sensor): elektronische (electronic): motorsteuergerät (engine control unit): drehzahl (speed): position: optional: drehrichtung (direction of rotation): kurbelwelle (crankshaft): daten (data): dienen (serve): steuerung (control): einspritz- (injection): zündzeitpunkt (ignition point): kurbelwellen-drehzahlsensor (crankshaft speed sensor): somit (thus): einhaltung (compliance): emissionsgrenzwerten (emission limits): motorlauf (engine running)
CT_027, Engine Speed Sensor, No, drehzahlsensor (speed sensor): dient (serves): erfassung (detection): drehzahl (speed): abgasturboladern (exhaust gas turbocharger): stellt (provides): wesentliche (essential): eingangsgröße (input variable): effizienten (efficient): steuerung (control): aufladesystems (charging system): bereit (ready)
ST_028, Mass Air Flow Sensor, Yes, messprinzip (measuring principle): druckbasierten (pressure-based): luftmassenmessers (air mass meter): prandtlschen: staurohrs (pitot tube): sensor: zwei (two): drucksensoren (pressure sensors): temperaturfühler (temperature sensors): verbaut (built in): dynamische (dynamic): druck (pressure): δp (Î´p): statische (static): temperatur (temperature): t: vorbeiströmenden (flowing past): luft (air): luftmasse (air mass): luftmassenmesser (air mass meter): gehäuse (housing): messrohr (measuring tube): ragt (protruding)
CT_028, Mass Air Flow Sensor, Yes, saugrohrluftdruck- (intake manifold air pressure): -temperatursensor (temperature sensor): druck (pressure): lufttemperatur (air temperature): saugrohr (intake manifold): mikromechanische (micromechanical): sensor: piezoresistives (piezoresistive): sensorelement (sensor element): elektrische (electrical): spannung (voltage): luftdruck (air pressure): kraftstoff-luft-gemisch (fuel-air mixture): effizientere (more efficient): verbrennung (combustion)
