q_id, query, is_relevant, rel_words
ST_001, ignition interlock devices, No, system: mikro-mobilitätslösung (micro-mobility solution): elektrische (electric): antriebssystem (drive system): abgestimmten (coordinated): komponenten (components): verschiedene (various): komfort- (comfort): unterstützungsfunktionen (support functions): funktionen (functions): gehören (belong): motorunterstützung (motor support): bergabschieben (downhill pushing): automatische (automatic): bremsunterstützung (braking assistance): handhabung (handling): systems: dabei (included): griff (handle): smartphone-app (smartphone app): verbunden (connected): weitere (further): ermöglicht (enables)
CT_001, ignition interlock devices, Yes, kühlmittel-schaltventile (coolant switching valves): steuern (control): kühlmitteldurchfluss (coolant flow): nebenkühlkreisläufen (auxiliary cooling circuits): heizkreisläufen (heating circuits)
ST_002, Zündschloss geräte, Yes, electronic: immobilizer: secures: vehicle: theft: ignition: key: switched: interface: engine
CT_002, Zündschloss geräte, No, conveyor: belts: special: transport: bulk: material: mobile: machinery
ST_003, Anti lock braking system, Yes, antiblockiersystem (antiblocking system): abs: räder (wheels): sicheres (safe): bremsen (braking)
CT_003, Anti lock braking system, Yes, antiblockiersystem (anti-lock braking system): sicheren (safe): bremsen (braking): verkürzte (shortened): bremswege (braking distances): bremsmanövern (braking maneuvers)
ST_004, Automotive night vision, Yes, nutzt (uses): kamera (camera): oberseite (top): windschutzscheibe (windshield): lichtquellen (light sources): wechselt (changes): lichtverhältnissen (lighting conditions): fahrzeugen (vehicles): anzupassen (adapt): nutzungsdauer (service life): optimieren (optimize): sicherheit (safety)
CT_004, Automotive night vision, No, off-highway: vision: system: besteht (consists): zentral (central): 360° (360 °): view: full-hd: vier (four): kameras (cameras): steuereinheit (control unit): ermöglicht (enables): dabei (while): trotz (despite): beschränkter (limited): sichtbereiche (viewing areas): optimale (optimal): rundumsicht (all-round view): feldmaschine (field machine): implement: umgebung (environment): zudem (also): bietet (offers): hochauflösende (high resolution): detaillierte (detailed): draufsicht (top view): fahrzeugs (vehicle): sicheres (safe): schnelles (fast): manövrieren (maneuvering): engsten (narrowest): gelände (terrain): unterstützt (assisted)
ST_005, Nachtsicht im Auto, No, indication: lamp: located: around: door: mirror: lights: system: detects: vehicle: blind: spot: area: driver: flicks: turn: signal: time: starts: flash: audible: warning: help: alert
CT_005, Nachtsicht im Auto, No, ’ (): typical: november: morning: cold: unpleasant: outside: visit: aunt: overdue: live: around: block: jumps: car: “: warm: enough: ”: asks: friendly: voice: like: warmer: feet: please: answers: sees: immediately: time: reached: freeway: entrance: already: feels: stress: rush: faded: away: feeling: good: nice: makes: long: journey: thought: could: caring
ST_006, Blind spot monitor, Yes, 180°-videokamera (180 ° video camera): motorhaube (bonnet): sehen (seeing): beim (when): parken (parking): umgebung (surroundings): parksensoren (parking sensors): kamerabild (camera image)
CT_006, Blind spot monitor, Yes, totwinkelwarner (blind spot warning): erkennt (detects): fahrzeuge (vehicles): schlecht (bad): einsehbaren (visible): bereichen (areas): warnt (warns): gefahr (danger): fahrer (driver)
ST_007, Toter Winkel Monitor, No, autonomous: driving: mode: activated: set: sensors: monitor: road: provide: 360° (360 °): surveillance: vehicle: lidars: long-range: laser: scanners: frontal: radar: medium-range: corner: digital: cameras: four: 180° (180 °): ultrasound: belt
CT_007, Toter Winkel Monitor, No, steering-angle: sensor: fixed: onto: steering: shaft: hub: gear: wheel: transmits: rotary: movement: two: measuring: wheels: magnet: mounted: whose: field: changes: direction: accordance: rotational: gmr: element: located: detect: angle: position: analog: values: elements: converted: digital: information: directly: circuit: sent: microprocessor: via: serial: interface
ST_008, Collision avoidance system, Yes, automatisierte (automated): sensorik (sensors): fußgänger (pedestrians): objekte (objects): erkennt (detects): hindernis (obstacle): stehen (standing): fahrzeug (vehicle)
