q_id, query, is_relevant, rel_words
ST_011, Müdigkeitserkennung des Fahrers, Yes, driver: monitoring: monitors: alertness: detect: drowsiness: alert
CT_011, Müdigkeitserkennung des Fahrers, No, driver: drowsiness: detection: software: solution: without: sensors: sensor: vehicle
ST_012, Hill descent control, Yes, acc: geschwindigkeit (speed): stundenkilometern (hourly kilometers): fahrer (driver): überlandfahrten (overland drives): autobahn: variante (variant): stop: go: geschwindigkeiten (speeds): stundenkilometer (kilometers per hour): aktiv (active): abstand (distance): fahrzeug (vehicle): selbsttätig (automatic): stillstand (standstill): abbremsen (slow down): verkehr (traffic): stau (traffic jam): entlasten (relieve)
CT_012, Hill descent control, Yes, hill: assist-technologie (assist technology): erleichtert (relieved): anfahren (starting up): manövrieren (maneuvering): gefällen (downhill): gefälle (downhill): verhindert (prevented): assist: sekunden (seconds): zurückrollen (roll back): fahrzeugs (vehicle): zeit (time): brems- (brake): gaspedal (accelerator)
ST_013, Bergabfahr kontrolle, No, precise: inertial: measurement: sensors: provide: reliable: data: functions: chassis: controllers: electronic: braking: systems
CT_013, Bergabfahr kontrolle, No, mountain: driving: scenario: system: projects: image: oncoming: vehicles: obstruction: hidden: beyond: curve
ST_014, Intelligent speed adaptation, Yes, leistungsfähigkeit (performance): verkehrszeicheninformation (traffic sign information): optimiert (optimized): system: anforderungen (requirements): safety: regulation: gsr: intelligent: speed: limit: assist: erkennung (detection): geschwindigkeitsbegrenzungen (speed limits): warnung (warning): geschwindigkeitsüberschreitungen (over speeding)
CT_014, Intelligent speed adaptation, Yes, adaptive: abstands- (distance control): geschwindigkeitsregelung (speed control): geschwindigkeit (speed): verkehrsfluss (traffic flow)
ST_015, Intelligente Geschwindigkeitsanpassung, Yes, detection: implicit: explicit: speed: limitation: signs: inform: driver: maximum: velocity: limits: sign: intelligent: assist: adapting: cruise: control: limit: information: traffic: recognition
CT_015, Intelligente Geschwindigkeitsanpassung, Yes, intelligent: speed: assistance: system: designed: assist: driver: maintaining: matches: road: conditions: providing: targeted: appropriate: feedback
ST_016, Spur zentrierung, No, circular: area: includes: parking: meeting: room: run-up: acceleration: track: testing: used: braking: maneuvers: lane: changes: driving: circle: slalom: markings: provided: different: radii: addition: handling: course
CT_016, Spur zentrierung, Yes, lane: centering: assist: camera: generation: detect: boundaries: road: markings: structural: vehicle: aligns: keep: track: active: interventions: ensure: stays: center
ST_017, Spurwechsel assistenz, No, lane: departure: warning: uses: video: camera: detect: markings: ahead: vehicle: warns: driver: leaving
CT_017, Spurwechsel assistenz, Yes, lane: change: assist: radar: sensors: concealed: rear: bumper: monitor: area: behind: car: control: collates: sensor: information: picture: traffic: vehicle
ST_018, Tire pressure monitoring, No, reifen (tire): verfügt (has): reifenventil (tire valve): sensor: fahrt (drive): regelmäßig (regularly)
CT_018, Tire pressure monitoring, No, saugrohrluftdruck- (intake manifold air pressure): -temperatursensor (temperature sensor): misst (measures): druck (pressure): lufttemperatur (air temperature): saugrohr (intake manifold): mikromechanische (micromechanical): sensor: enthält (contains): piezoresistives (piezoresistive): sensorelement (sensor element): ausübung (exercise): messbare (measurable): elektrische (electrical): spannung (voltage): erzeugt (generated): luftdruck (air pressure): gemessen (measured): sorgt (provides): optimiertes (optimized): kraftstoff-luft-gemisch (fuel-air mixture): effizientere (more efficient): verbrennung (combustion)
ST_019, Traktions steuersystem, Yes, position: system: requirements: engine: torque: cruise: control: active: safety: systems: electronic: stability
