q_id, query, is_relevant, rel_words
ST_001, ignition interlock devices, No, system: bietet: innovative: speziell: elektrische: antriebssystem: perfekt: aufeinander: abgestimmten: komponenten: verschiedene: komfort-: unterstützungsfunktionen: funktionen: gehören: motorunterstützung: beim: bergauf-: bergabschieben: automatische: bremsunterstützung: handhabung: systems: dabei: ganz: intuitiv: schalter: griff: via: bluetooth: zugehörigen: smartphone-app: verbunden: weitere: ermöglicht
CT_001, ignition interlock devices, No, kühlmittel-schaltventile: steuern: kühlmitteldurchfluss: nebenkühlkreisläufen: antriebsstrangs: heizkreisläufen: fahrgastraums
ST_002, Zündschloss geräte, Yes, electronic: immobilizer: secures: vehicle: achieved: transponder: code: ignition: key: switched: read: smartra: smart: intelligent: communications: interface: using: antenna: valid: releases: engine: electronics: system: another: coded: signal: required: start
CT_002, Zündschloss geräte, No, conveyor: belts: special: transport: bulk: material: mobile: machinery
ST_003, Anti lock braking system, Yes, antiblockiersystem: abs: verhindert: blockieren: räder: ermöglicht: sicheres: bremsen
CT_003, Anti lock braking system, Yes, antiblockiersystem: hilft: beim: sicheren: bremsen: sorgt: verkürzte: bremswege: verringerte: sturzgefahr: abrupten: bremsmanövern
ST_004, Automotive night vision, Yes, nutzt: lichtquellen: fahrzeugen: straße: anzupassen: optimieren: maximale: sicherheit: gewährleisten
CT_004, Automotive night vision, Yes, off-highway: vision: system: zentral: steuereinheit: ermöglicht: feldmaschine: implement: bietet: fahrzeugs: schnelles: manövrieren: gelände: unterstützt
ST_005, Nachtsicht im Auto, Yes, located: system: vehicle: blind: spot: area: driver: turn: signal: warning: help: alert
CT_005, Nachtsicht im Auto, Yes, block: car: time: freeway
