q_id, query, is_relevant, rel_words
ST_011, Müdigkeitserkennung des Fahrers, Yes, driver: monitoring: camera: monitors: alertness: condition: detect: distraction: drowsiness: microsleeps: alert: time
CT_011, Müdigkeitserkennung des Fahrers, Yes, driver: drowsiness: detection: successful: market: years: already: pure: software: solution: without: need: additional: sensors: steering-angle: sensor: thus: easily: integrated: existing: vehicle: platforms: function: suitable: meet: emerging: legal: requirements
ST_012, Hill descent control, No, acc: lässt: ab: geschwindigkeit: etwa: stundenkilometern: aktivieren: unterstützt: fahrer: überlandfahrten: autobahn: variante: stop: go: geschwindigkeiten: stundenkilometer: aktiv: gewählten: abstand: vorausfahrenden: fahrzeug: niedriger: einhalten: selbsttätig: stillstand: abbremsen: weise: dichtem: verkehr: stau: entlasten
CT_012, Hill descent control, No, hill: assist-technologie: erleichtert: anfahren: manövrieren: gefällen: gefälle: verhindert: assist: ungefähr: sekunden: zurückrollen: fahrzeugs: zeit: brems-: gaspedal: wechseln
ST_013, Bergabfahr kontrolle, No, precise: inertial: measurement: sensors: provide: reliable: data: functions: chassis: controllers: electronic: braking: systems
CT_013, Bergabfahr kontrolle, No, mountain: driving: scenario: system: projects: image: oncoming: vehicles: obstruction: hidden: beyond: curve
ST_014, Intelligent speed adaptation, No, leistungsfähigkeit: verkehrszeicheninformation: zusätzlich: optimiert: unterstützt: system: künftigen: gesetzlichen: anforderungen: general: safety: regulation: gsr: intelligent: speed: limit: assist: erkennung: geschwindigkeitsbegrenzungen: warnung: geschwindigkeitsüberschreitungen
CT_014, Intelligent speed adaptation, No, adaptive: abstands-: geschwindigkeitsregelung: passt: geschwindigkeit: verkehrsfluss
ST_015, Intelligente Geschwindigkeitsanpassung, No, detection: implicit: explicit: speed: limitation: signs: inform: driver: maximum: allowed: velocity: includes: conditional: limits: supplementary: sign: optical: character: reading: optionally: sla: extended: intelligent: assist: isa: adapting: cruise: control: limit: information: traffic: recognition
CT_015, Intelligente Geschwindigkeitsanpassung, Yes, intelligent: speed: assistance: system: designed: assist: driver: maintaining: matches: road: conditions: providing: targeted: appropriate: feedback
ST_016, Spur zentrierung, Yes, circular: area: includes: parking: acceleration: track: testing: used: braking: maneuvers: lane: changes: driving: circle: markings: provided: different: radii: handling: course
CT_016, Spur zentrierung, Yes, lane: centering: assist: uses: multi: purpose: camera: generation: detect: boundaries: including: road: markings: structural: alongside: vehicle: compare: position: afterwards: system: aligns: keep: track: making: active: interventions: ensure: stays: center
ST_017, Spurwechsel assistenz, No, lane: departure: warning: uses: video: camera: detect: markings: ahead: vehicle: warns: driver: leaving
CT_017, Spurwechsel assistenz, Yes, lane: change: assist: works: using: two: corner: radar: sensors: concealed: rear: bumper: one: left: right: monitor: area: alongside: behind: car: powerful: control: software: collates: sensor: information: create: complete: picture: traffic: vehicle
ST_018, Tire pressure monitoring, No, reifen: verfügt: reifenventil: sensor: fahrt: regelmäßig
CT_018, Tire pressure monitoring, No, saugrohrluftdruck-: -temperatursensor: misst: druck: lufttemperatur: saugrohr: mikromechanische: sensor: enthält: piezoresistives: sensorelement: ausübung: messbare: elektrische: spannung: erzeugt: luftdruck: gemessen: sorgt: optimiertes: kraftstoff-luft-gemisch: effizientere: verbrennung
ST_019, Traktions steuersystem, No, accelerator-pedal: position: system: requirements: influence: engine: torque: cruise: control: active: safety: systems: electronic: stability: program: esp®
