q_id, query, document, is_relevant, rel_words
ST_001,  adaptive cruise control,  The adaptive cruise control adapts the vehicle’s speed to the flow of traffic., Yes, adaptive: cruise: control: adapts: vehicle: ’: speed: flow: traffic
CT_001,  adaptive cruise control,  The adaptive cruise control ACC helps to adapt the speed in heavy traffic to the flow to keep a safe distance to the preceding vehicle., Yes, adaptive: cruise: control: acc: helps: adapt: speed: heavy: traffic: flow: keep: safe: distance: preceding: vehicle
CT_002,  adaptive cruise control,  The adaptive cruise control ACC helps to adapt the speed in heavy traffic to the flow to keep a safe distance to the preceding vehicle., No, cruise: acc: adapt: speed: heavy: traffic: flow: keep: distance
ST_002, Nachtsicht im Auto, The indication lamp located around the door mirror lights up when the system detects a vehicle in the blind spot area. If the driver flicks on the turn signal at that time, the indication lamp starts to flash with an audible warning to help alert the driver., Yes, indication
ST_003, Blind spot monitor, Die Einparkhilfe erweitert Ihren PEUGEOT 308 SW um eine 180°-Videokamera auf der Motorhaube. So sehen Sie beim Parken auf Ihrem Touchscreen die Umgebung Ihrer Kompaktlimousine. Die Parksensoren werden zusätzlich zum Kamerabild genutzt., Yes, einparkhilfe: erweitert: peugeot: sw: 180°-videokamera: motorhaube: sehen: beim: parken: touchscreen: umgebung: kompaktlimousine: parksensoren: zusätzlich: kamerabild: genutzt
ST_004, Kollisionsvermeidungs system, With automatic emergency braking on cyclists, car exit warning and predictive pedestrian protection, Bosch introduces driver assistance systems to complex urban traffic scenarios. These smart systems protect especially pedestrians and cyclists who are at most risk., Yes, automatic: emergency: braking: cyclists: car: exit: warning: predictive: pedestrian: protection: bosch: introduces: driver: assistance: systems: complex: urban: traffic: scenarios: smart: protect: especially: pedestrians: risk
ST_005, Driver drowsiness detection, Die Fahrerbeobachtungskamera erfasst die Aufmerksamkeit sowie den Zustand des Fahrers. Ablenkung, Müdigkeit oder Sekundenschlaf können erfasst und der Fahrer rechtzeitig gewarnt werden., Yes, fahrerbeobachtungskamera: erfasst: aufmerksamkeit: sowie: zustand: fahrers: ablenkung: müdigkeit: sekundenschlaf: fahrer: rechtzeitig: gewarnt
ST_006, Bergabfahr kontrolle, Our precise inertial measurement sensors provide reliable data for functions such as chassis controllers or electronic braking systems., Yes, precise: inertial: measurement: sensors: provide: reliable: data: functions: chassis: controllers: electronic: braking: systems
ST_007, Intelligent speed adaptation, kann die Leistungsfähigkeit der Verkehrszeicheninformation zusätzlich optimiert werden. Damit unterstützt das System die künftigen gesetzlichen Anforderungen der General Safety Regulation (GSR) zum Intelligent Speed Limit Assist zur Erkennung von Geschwindigkeitsbegrenzungen und Warnung bei Geschwindigkeitsüberschreitungen., Yes, leistungsfähigkeit: verkehrszeicheninformation: zusätzlich: optimiert: unterstützt: system: künftigen: gesetzlichen: anforderungen: general: safety: regulation: gsr: intelligent: speed: limit: assist: erkennung: geschwindigkeitsbegrenzungen: warnung: geschwindigkeitsüberschreitungen
ST_008, Spur zentrierung, Circular area that includes parking area, meeting room, run-up, acceleration track and testing area. The circular area can be used for braking maneuvers, lane changes, driving in a circle or slalom driving. For driving in a circle, markings are provided with different radii. In addition, the area has markings for a handling course., Yes, circular: area: includes: parking: meeting: room: run-up: acceleration: track: testing: used: braking: maneuvers: lane: changes: driving: circle: slalom: markings: provided: different: radii: addition: handling: course
ST_009, Lane change assistance, of accidents that happen while changing lanes can be prevented by lane change assist., Yes, of: accidents: that: happen: while: changing: lanes: can: be: prevented: by: lane: change: assist
ST_010, Traktions steuersystem, accelerator-pedal position and any system requirements that can influence the engine torque, such as cruise control, or active safety systems such as the electronic stability program ESP., No, 
CT_003, Blind spot monitor, Der Totwinkelwarner erkennt Fahrzeuge in schlecht einsehbaren Bereichen und warnt bei Gefahr den Fahrer mit einem optischen Signal., No, 
CT_004, Kollisionsvermeidungs system, The Intelligent Forward Collision Warning system uses a radar sensor located in the front of the vehicle to detect the distances between the two cars ahead, as well as their relative speed. This allows the system to assess the situation in front of the vehicle. If the system determines that the vehicle needs to slow down due to a sudden change with the vehicles ahead, it prompts the driver by blinking the vehicle ahead detection indicator and sounding an audible alert., Yes, intelligent: forward: collision: warning: system: uses: radar: sensor: located: front: vehicle: detect: distances: two: cars: ahead: well: relative: speed: allows: assess: situation: determines: needs: slow: due: sudden: change: vehicles: prompts: driver: blinking: detection: indicator: sounding: audible: alert
