q_id, query, is_relevant, rel_words
ST_001, ignition interlock devices, Yes, estroller: system: bietet: bosch: innovative: mikro-mobilitätslösung: speziell: kinderwagen: elektrische: antriebssystem: perfekt: aufeinander: abgestimmten: komponenten: verschiedene: komfort-: unterstützungsfunktionen: eltern: funktionen: gehören: motorunterstützung: beim: bergauf-: bergabschieben: automatische: bremsunterstützung: handhabung: systems: erfolgt: dabei: ganz: intuitiv: schalter: griff: via: bluetooth: zugehörigen: smartphone-app: verbunden: weitere: ermöglicht
CT_001, ignition interlock devices, Yes, kühlmittel-schaltventile: steuern: kühlmitteldurchfluss: nebenkühlkreisläufen: antriebsstrangs: heizkreisläufen: fahrgastraums
ST_002, Zündschloss geräte, Yes, electronic: immobilizer: secures: vehicle: theft: achieved: transponder: code: ignition: key: switched: read: smartra: smart: intelligent: communications: interface: using: antenna: valid: releases: engine: electronics: system: another: coded: signal: required: start
CT_002, Zündschloss geräte, Yes, conveyor: belts: special: transport: bulk: material: mobile: machinery
ST_003, Anti lock braking system, Yes, antiblockiersystem: abs: verhindert: blockieren: räder: ermöglicht: sicheres: bremsen
CT_003, Anti lock braking system, Yes, antiblockiersystem: hilft: beim: sicheren: bremsen: sorgt: verkürzte: bremswege: verringerte: sturzgefahr: abrupten: bremsmanövern
ST_004, Automotive night vision, Yes, peugeot: nutzt: kamera: oberseite: windschutzscheibe: lichtquellen: erkennen: system: wechselt: automatisch: abblend-: fernlicht: lichtverhältnissen: fahrzeugen: straße: anzupassen: nutzungsdauer: fernlichtes: optimieren: maximale: sicherheit: gewährleisten
CT_004, Automotive night vision, Yes, off-highway: vision: system: besteht: zentral: 360°: view: full-hd: vier: kameras: steuereinheit: ermöglicht: dabei: trotz: beschränkter: sichtbereiche: optimale: rundumsicht: feldmaschine: implement: umgebung: zudem: bietet: hochauflösende: detaillierte: draufsicht: fahrzeugs: sicheres: schnelles: manövrieren: engsten: gelände: unterstützt
ST_005, Nachtsicht im Auto, Yes, indication: lamp: located: around: door: mirror: lights: system: detects: vehicle: blind: spot: area: driver: flicks: turn: signal: time: starts: flash: audible: warning: help: alert
CT_005, Nachtsicht im Auto, Yes, ’: typical: november: morning: cold: unpleasant: outside: visit: aunt: overdue: live: around: block: jumps: car: “: warm: enough: ”: asks: friendly: voice: like: warmer: feet: please: answers: sees: immediately: time: reached: freeway: entrance: already: feels: stress: rush: faded: away: feeling: good: nice: makes: long: journey: thought: could: caring
ST_006, Blind spot monitor, Yes, einparkhilfe: erweitert: peugeot: sw: 180°-videokamera: motorhaube: sehen: beim: parken: touchscreen: umgebung: kompaktlimousine: parksensoren: zusätzlich: kamerabild: genutzt
CT_006, Blind spot monitor, Yes, totwinkelwarner: erkennt: fahrzeuge: schlecht: einsehbaren: bereichen: warnt: gefahr: fahrer: optischen: signal
ST_007, Toter Winkel Monitor, Yes, autonomous: driving: mode: activated: set: sensors: monitor: road: provide: 360°: surveillance: vehicle: lidars: long-range: laser: scanners: frontal: radar: medium-range: corner: digital: cameras: four: 180°: ultrasound: belt
CT_007, Toter Winkel Monitor, Yes, steering-angle: sensor: fixed: onto: steering: shaft: hub: gear: wheel: transmits: rotary: movement: two: measuring: wheels: magnet: mounted: whose: field: changes: direction: accordance: rotational: gmr: element: located: detect: angle: position: analog: values: elements: converted: digital: information: directly: circuit: sent: microprocessor: via: serial: interface
ST_008, Collision avoidance system, Yes, automated: valet: parking: fahrzeughersteller: schon: automatisierte: fahrerlebnis: bieten: system: stützt: infrastruktur: eingesetzte: sensorik: fußgänger: objekte: fahrweg: erkennt: kommt: fahrzeug: hindernis: zuverlässig: stehen
CT_008, Collision avoidance system, Yes, anfahrinformationssystem: hilft: kollisionen: schweren: nutzfahrzeugen: verkehrsteilnehmern: unmittelbar: kraftfahrzeug: vermeiden
ST_009, Kollisionsvermeidungs system, No, automatic: emergency: braking: cyclists: car: exit: warning: predictive: pedestrian: protection: bosch: introduces: driver: assistance: systems: complex: urban: traffic: scenarios: smart: protect: especially: pedestrians: risk
CT_009, Kollisionsvermeidungs system, No, 
