q_id, query, is_relevant, rel_words
ST_001, ignition interlock devices, No, estroller: system: bietet (offers): bosch: innovative: mikro-mobilitätslösung (micro-mobility solution): speziell (special): kinderwagen (stroller): elektrische (electric): antriebssystem (drive system): perfekt (perfect): aufeinander (on top of each other): abgestimmten (coordinated): komponenten (components): verschiedene (various): komfort- (comfort): unterstützungsfunktionen (support functions): eltern (parents): funktionen (functions): gehören (belong): motorunterstützung (motor support): beim (during): bergauf- (uphill): bergabschieben (downhill pushing): automatische (automatic): bremsunterstützung (braking assistance): handhabung (handling): systems: erfolgt (done): dabei (included): ganz (completely): intuitiv (intuitive): schalter (switch): griff (handle): via: bluetooth: zugehörigen (associated): smartphone-app (smartphone app): verbunden (connected): weitere (further): ermöglicht (enables)
CT_001, ignition interlock devices, No, kühlmittel-schaltventile (coolant switching valves): steuern (control): kühlmitteldurchfluss (coolant flow): nebenkühlkreisläufen (auxiliary cooling circuits): antriebsstrangs (drive train): heizkreisläufen (heating circuits): fahrgastraums (passenger compartment)
ST_002, Zündschloss geräte, No, electronic: immobilizer: secures: vehicle: theft: achieved: transponder: code: ignition: key: switched: read: smartra: smart: intelligent: communications: interface: using: antenna: valid: releases: engine: electronics: system: another: coded: signal: required: start
CT_002, Zündschloss geräte, No, conveyor: belts: special: transport: bulk: material: mobile: machinery
ST_003, Anti lock braking system, No, antiblockiersystem (antiblocking system): abs: verhindert (prevents): blockieren (blocking): räder (wheels): ermöglicht (enables): sicheres (safe): bremsen (braking)
CT_003, Anti lock braking system, No, antiblockiersystem (anti-lock braking system): hilft (helps): beim (with): sicheren (safe): bremsen (braking): sorgt (provides): verkürzte (shortened): bremswege (braking distances): verringerte (reduced): sturzgefahr (risk of falling): abrupten (abrupt): bremsmanövern (braking maneuvers)
ST_004, Automotive night vision, No, peugeot: nutzt (uses): kamera (camera): oberseite (top): windschutzscheibe (windshield): lichtquellen (light sources): erkennen (detect): system: wechselt (changes): automatisch (automatically): abblend- (low beam): fernlicht (high beam): lichtverhältnissen (lighting conditions): fahrzeugen (vehicles): straße (street): anzupassen (adapt): nutzungsdauer (service life): fernlichtes (high beam): optimieren (optimize): maximale (maximum): sicherheit (safety): gewährleisten (ensure)
CT_004, Automotive night vision, No, off-highway: vision: system: besteht (consists): zentral (central): 360° (360 °): view: full-hd: vier (four): kameras (cameras): steuereinheit (control unit): ermöglicht (enables): dabei (while): trotz (despite): beschränkter (limited): sichtbereiche (viewing areas): optimale (optimal): rundumsicht (all-round view): feldmaschine (field machine): implement: umgebung (environment): zudem (also): bietet (offers): hochauflösende (high resolution): detaillierte (detailed): draufsicht (top view): fahrzeugs (vehicle): sicheres (safe): schnelles (fast): manövrieren (maneuvering): engsten (narrowest): gelände (terrain): unterstützt (assisted)
ST_005, Nachtsicht im Auto, No, indication: lamp: located: around: door: mirror: lights: system: detects: vehicle: blind: spot: area: driver: flicks: turn: signal: time: starts: flash: audible: warning: help: alert
CT_005, Nachtsicht im Auto, No, ’ (): typical: november: morning: cold: unpleasant: outside: visit: aunt: overdue: live: around: block: jumps: car: “: warm: enough: ”: asks: friendly: voice: like: warmer: feet: please: answers: sees: immediately: time: reached: freeway: entrance: already: feels: stress: rush: faded: away: feeling: good: nice: makes: long: journey: thought: could: caring
ST_006, Blind spot monitor, No, einparkhilfe (parking aid): erweitert (extended): peugeot: sw: 180°-videokamera (180 ° video camera): motorhaube (bonnet): sehen (seeing): beim (when): parken (parking): touchscreen: umgebung (surroundings): kompaktlimousine (compact sedan): parksensoren (parking sensors): zusätzlich (additional): kamerabild (camera image): genutzt (used)
