q_id, query, is_relevant, rel_words
ST_021, Falsche Fahrwarnung, Yes, integrated: collision: detection: enables: earlier: reliable: triggering: safety: features: airbags: seat: belts: fact: triggered: within: milliseconds: impact: achieved: integrating: data: collected: vehicles: surround: sensors: mechanism: passive: systems: thus: information: already: available: prior: accident: used: make: crash: algorithms: sensitive: impacts: way: severity: type: determined: early: accurately: result: restraint: devices: activated: sooner: reliably: risk: injuries: occupants: reduced: significantly
CT_021, Falsche Fahrwarnung, No, rear: cross: traffic: warning: makes: backing: parking: space: easier: view: obstructed: warns: crossing: vehicles
ST_022, Wrong way driving warning, Yes, bosch (Bosch): fahrassistent (driving assistant): automatischen (automatic): spurwechsel (lane change): geschwindigkeitsbereich (speed range): – (-): km/h (km / h): ergänzt (supplemented): dafür (for): zusätzliche (additional): überwachung (monitoring): seitlichen (lateral): rückwärtigen (rearward): verkehrs (traffic): eck-radarsensoren (corner radar sensors): erforderlich (required): fahrer (driver): signalisiert (signals): betätigen (actuate): blinkers: wunsch (request): woraufhin (whereupon): system: durchführt (carries out): sobald (as soon as): gefahrlos (safe): nebenspur (next lane): gewechselt (changed): bleibt (remains): dennoch (nevertheless): fahrverantwortung (driving responsibility): fahrzeugführung (driving the vehicle): jederzeit (at any time): übernehmen (taking over)
CT_022, Wrong way driving warning, Yes, querverkehrswarnung (Cross traffic warning): erleichtert (relieved): versperrter (blocked): sicht (view): rückwärtige (backwards): ausparken (park out): querparklücken (cross parking spaces): warnt (warn): querenden (crossing): fahrzeugen (vehicles)
ST_023, Kreuzung sassistenten, Yes, especially: complex: intersection: scenarios: dangerous: situations: often: arise: result: impaired: visibility: due: stationary: traffic: buildings: v2x: used: warn: driver: approaching: even: outside: ’ (): field: vision: warned: good: time: risk: collision: intersecting: passed: vehicle: yielding: right: way: continue: journey
CT_023, Kreuzung sassistenten, Yes, rear: cross: traffic: warning: makes: backing: parking: space: easier: view: obstructed: warns: crossing: vehicles
ST_024, Electronic stability control, Yes, elektrolenkung (electric steering): servolectric® (servolectricÂ®): regelt (regulates): unterstützt (assisted): lenkung (steering): fahrzeugen (vehicles): mithilfe (using): elektronisch (electronic): gesteuerten (controlled): elektromotors (electric motor): elektronische (electronic): schnittstelle (interface): ermöglicht (enables): fail-operational: ausführung (execution): hochautomatisierte (highly automated): fahren (drive): gemäß (according to): level: aufwärts (upwards)
CT_024, Electronic stability control, Yes, elektronische (electronic): stabilitäts-programm (stability program): erkennt (detects): schleuderbewegungen (skidding movements): fahrzeugs (vehicle): wirkt (acts): aktiv (active): entgegen (counteracts)
ST_025, Oxygen Sensors, Yes, skalierbare (scalable): fuel: cell: power: module: brennstoffzellensystem (fuel cell system): stromerzeugung (electricity generation): fahrzeug (vehicle): wasserstoff (hydrogen)
CT_025, Oxygen Sensors, Yes, bosch: mems-sensoren (memes sensors): spielen (play): große (big): rolle (role): dabei (there): mobilität (mobility): effizienter (more efficient): bequemer (more convenient): sicherer (safer): darüber (beyond): hinaus (beyond): fahrspaß (driving fun): begeisterung (enthusiasm): steigern (increase): grundbaustein (basic building block): vernetzte (networked): welt (world): verborgenen (hidden): wirkenden (effective): helden (heroes): zeigen (show): superfähigkeiten (super skills): darum (therefore): geht (works): kleinsten (smallest): veränderungen (changes): umgebung (environment): erfassen (record): genauigkeit (accuracy): messungen (measurements): sorgen (ensure): dafür (ensure): system: immer (always): laufenden (running)
ST_026, Motordrehzahlsensor, Yes, speed: sensor: detects: rotational: exhaust-gas: turbochargers
CT_026, Motordrehzahlsensor, Yes, via: crankshaft: speed: sensor: engine: management: system: measures: position: rotational: direction
ST_027, Engine Speed Sensor, Yes, grundlage (basis): optimale (optimal): motorsteuerung (engine control): aktuelle (current): präzise (precise): informationen (information): antriebsstrang (drive train): sensoren (sensors): geliefert (delivered): mithilfe (using): kurbelwellen-drehzahlsensors (crankshaft speed sensor): ermittelt (determined): elektronische (electronic): motorsteuergerät (engine control unit): drehzahl (speed): position: optional: drehrichtung (direction of rotation): kurbelwelle (crankshaft): daten (data): dienen (serve): steuerung (control): einspritz- (injection): und/oder (and / or): zündzeitpunkt (ignition point): kurbelwellen-drehzahlsensor (crankshaft speed sensor): unterstützt (supported): somit (thus): einhaltung (compliance): emissionsgrenzwerten (emission limits): verbessert (improved): komfort (comfort): ruhigen (quiet): motorlauf (engine running)
